val_id,id,study,Is the model published previously?,movement_behaviour,model_type,model_test_outcomes,model_test_classification,test_criterion,age_group,test_device,health,wear_site,features,single_feature,method,method_sub,method_group,train_environment,train_protocol,test_environment,test_protocol,validation_type,mape_mean,mape_sd,rmse_met_mean,rmse_met_sd,n_participants,sd_origin,k_folds,other
225,5624,Montoye 2016,Yes - Montoye 2015,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Both wrists,Time-domain,Mean and variance,Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,External,n.r.,n.r.,1.25,n.r.,n.a.,n.a.,n.a.,r
226,11378,Montoye 2017,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT9X Link (ActiGraph),Healthy,Left wrist,Time-domain,"10th, 25th, 50th, 75th, 90th percentiles, covariance",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,1.07,0.06,n.a.,n.a.,n.a.,r
227,11760,Montoye 2017,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Left wrist,Time-domain,"Mean, SD, minimum, maximum, covariance, 10th, 25th, 50th, 75th, 90th percentiles",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,1.31,n.r.,n.a.,n.a.,n.a.,r
228,9905,Montoye 2019,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Children and Youth,wGT3X-BT (ActiGraph),Healthy,Left wrist,Time-domain,Mean and variance of individual axes,Classical ML,ANN,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,External,n.r.,n.r.,3.6,1.7,n.a.,n.a.,n.a.,r
229,201,O'Driscoll 2020,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,n.r.,GT3X+ (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Frequency-domain; Spatial,"Minimum, Maximum, Mean, SD, Correlation (XY, XZ, YZ), Median zero-crossings, Percentiles (10th, 25th, 50th, 75th,90th), Dominant frequency, Dominant-frequency magnitude, Gender, Age, Height, Weight",Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,20.90,n.r.,1.18,n.r.,59,n.r.,59,r
230,198,Staudenmayer 2015,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Dominant wrist,Time-domain; Spatial,,Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,
231,10178,Steenbock 2019,No,Energy expenditure association,Supervised regression,"PAEE (kJ/min, J/min/kg, and METs)",n.a.,IC,Children and Youth,GENEActiv (ActivInsights),Healthy,Right wrist; Left wrist,Time-domain,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Structured,Hybrid,Structured,Cross-validation,n.r.,n.r.,1.47,0.36,n.a.,n.a.,n.a.,"rmse_kj.min, rmse_j.min.kg"
232,2676,Wang 2016,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,VO,Adults,GENEActiv (ActivInsights),n.r.,Non-dominant wrist,Time-domain; Spatial,"Mean, variance, root mean square (x,y,z), pearson correlation coefficients (xy,yz,xz), difference between max and min, vector magnitude of each of two axes and all three axes (xy,yz,xz,xyz)
",Classical ML,SVM,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,pearson cc
233,5335,Xu 2023,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,"WT901SDCL (Shenzhen Weite Intelligent Technology Co., Ltd)",Healthy,Non-dominant wrist,Time-domain,"Mean, SD, max, min, percentiles of VM (10th, 25th, 50th, 75th, 90th)
unit = g",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Hold-out,n.r.,n.r.,0.76,n.r.,n.a.,n.a.,n.a.,"bias, 95% limits agg"
234,2919,Mardini 2020,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults; Older adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain; Spatial,Long-short-term memory recurrent layer (LSTM-RNN) derived feature map,Deep Learning,CNN_LSTM,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,1.1,0.13,n.a.,n.a.,n.a.,
235,8295,Paraschiakos 2022,No,Energy expenditure association,Supervised regression,PAEE (kcal/min),n.a.,IC,Older adults,GENEActiv (Activinsights),Healthy,Right wrist,Time-domain; Anthorpometric; Demographic,"Standard deviation (x,y,z), age, gender, height, weight, BMI",Deep Learning,GRU_RNN,Machine Learning or Other Models,Hybrid,Structured,Hybrid,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"r2, rmse_kcal.min"
236,854,Vibæk 2024,No,Energy expenditure association,Supervised regression,"PAEE (METs, kcal)",n.a.,IC,Children and Youth,AX3 (Axivity),Healthy,Non-dominant wrist,Time-domain; Spatial; Anthropometric,"MAD, AGI, inclination angle, participant height, arm length, leg length",Deep Learning,CNN_LSTM,Machine Learning or Other Models,Free-living,Structured,Free-living,Structured,Hold-out,13.90,n.r.,n.r.,n.r.,33,n.r.,n.a.,r2
237,1068,Siddall 2019,Yes - Esliger 2011,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GENEActiv (ActivInsights),Healthy,Dominant wrist,Time-domain,SVM-g (mg),Heuristic Rule,HeuristicRule,Threshold/Heuristic or Linear Models,Hybrid,Structured,Free-living,Unstructured,External,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias, r"
238,6693,Uphill 2024,Yes - Esliger 2011,Energy expenditure association,Supervised regression,"PAEE (METs, kcal)",n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Right wrist; Left wrist,Time-domain,SVM (mg.5 sec),Heuristic Rule,HeuristicRule,Threshold/Heuristic or Linear Models,Hybrid,Structured,Free-living,Structured,External,57.70,n.r.,n.r.,n.r.,36,n.r.,n.a.,"se, ce"
239,14135,Altini 2013,No,Energy expenditure association,Supervised regression,PAEE (kcal/min),n.a.,IC,Adults,Imec Wristband (Imec),Healthy,n.r.,Time-domain,"Mean of the absolute band-passed signal summed over three axes (x,y,z)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,rmse_kcal.min
240,3488,Altini 2014,No,Energy expenditure association,Supervised regression,PAEE (kcal/min),n.a.,IC,Adults,Imec Wristband (Imec),Healthy,n.r.,Time-domain,"Mean of the absolute band-passed signal summed over three axes (x,y,z)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,rmse_kcal.min
241,185,Altini 2015,No,Energy expenditure association,Supervised regression,PAEE (kcal/min),n.a.,IC,Adults,Imec Necklace (Imec),n.r.,Dominant wrist,Time-domain; Frequency-domain,"Mean of the absolute BP signal, interquartile range, mean distance between axes, median, variance, standard deviation, zero crossing rate, main frequency peak, low and high-frequency band signal power",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,rmse_kcal.min
242,13339,Dong 2014,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,n.r.,Custom (MemSic Inc.),n.r.,Right wrist,Time-domain; Anthropometric,"Mean (mg), entropy, BMI (kg/m^2), height (cm), weight (kg), fat %",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,2.03,n.r.,n.a.,n.a.,n.a.,
243,5534,Ellingson 2017,Yes - Hildebrand 2014,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,External,9.32,7.89,n.r.,n.r.,51,participants,n.a.,
244,2326,Fridolfsson 2021,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,AX3 (Axivity),Healthy,Left wrist,Time-domain,SVMbp (mg),Linear / GLM,SplineModel,Threshold/Heuristic or Linear Models,Free-living,Hybrid,Free-living,Hybrid,Cross-validation,n.r.,n.r.,0.92,n.r.,n.a.,n.a.,n.a.,r2
245,2326,Fridolfsson 2021,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,AX3 (Axivity),Healthy,Left wrist,Time-domain,SVMbp (mg),Linear / GLM,SplineModel,Threshold/Heuristic or Linear Models,Laboratory,Structured,Free-living,Hybrid,External,n.r.,n.r.,0.94,n.r.,n.a.,n.a.,n.a.,r2
246,2326,Fridolfsson 2021,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,AX3 (Axivity),Healthy,Left wrist,Time-domain,SVMbp (mg),Linear / GLM,SplineModel,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,r2
247,2884,Gifford 2021,No,Energy expenditure association,Supervised regression,PAEE (kcal/day),n.a.,DLW,Adults,GENEActiv (ActivInsights),Healthy,n.r.,Time-domain,Mean daily acceleration converted to mean daily duration of MVPA (min),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Hybrid,Free-living,Hybrid,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"r, r2"
248,1041,Hibbing 2018,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT9X Link (ActiGraph),Healthy,Left wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,19.55,n.r.,1.24,n.r.,30,n.r.,30,
249,26667,Hibbing 2023,Yes - Hibbing 2018,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Free-living,Unstructured,External,18.90,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
250,26667,Hibbing 2023,Yes - Hildebrand 2014,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Free-living,Unstructured,External,19.50,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
251,26667,Hibbing 2023,Yes - Staudenmayer 2015,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Spatial,"Standard deviation of VM, mean angle of acceleration relative to vertical",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Free-living,Unstructured,External,34.70,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
252,1079,Hildebrand 2014,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Children and Youth; Adults,GT3X+ (ActiGraph); GENEActiv (ActivInsights),Healthy,Non-dominant wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,r2
253,25995,Ingraham 2019,No,Energy expenditure association,Supervised regression,PAEE (W/kg),n.a.,IC,Adults,E4 (Empatica),Healthy,Left wrist,Time-domain,SVMgf,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,pearson cc
254,1040,Kim 2009,No,Energy expenditure association,Supervised regression,PAEE (n.r.),n.a.,IC,Adults,Custom,Healthy,n.r.,Time-domain; Anthropometric,"Integrated absolute accelerations for x,y,z axes (unit n.r.), exercise time (min), body weight (kg)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"r, r2, se"
255,3713,Kiuchi 2014,No,Energy expenditure association,Supervised regression,PAEE (kcal/min/kg),n.a.,IC,Adults,Custom (MiscroStone Corporation),Wheelchair,Right wrist,Time-domain; Physiological,"Mean acceleration (xyz), Upper limb strength",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"r, r2, se"
256,2019,Migueles 2019,No,Energy expenditure association,Supervised regression,TEE (kJ/day),n.a.,DLW,Children and Youth,wGT3X-BT (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Anthropometric,"HFEN+ (mg), fat mass (kg), fat free mass (kg)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias,rmse_kj.day,adj r2, se"
257,2019,Migueles 2019,No,Energy expenditure association,Supervised regression,PAEE (kJ/day),n.a.,DLW,Children and Youth,wGT3X-BT (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Anthropometric,"HFEN+ (mg), fat mass (kg), fat free mass (kg)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias,rmse_kj.day,adj r2, se"
258,1238,Nightingale 2015,No,Energy expenditure association,Supervised regression,PAEE (kcal/min),n.a.,IC,Adults,GENEActiv (Activinsights),Wheelchair,Right wrist,Time-domain,SVM (g/min),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,21.00,15.1,n.r.,n.r.,17,cv_folds,17,"r, r2, se, mae"
259,542,Rosenberger 2013,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults; Older adults,Custom (Wockets),Healthy,Dominant wrist,Time-domain,"Sum of motion counts, CV of sum of motion counts (%)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"mae, r2"
260,198,Staudenmayer 2015,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Dominant wrist,Time-domain; Spatial,"LR and DT: Standard deviation of VM, mean angle of acceleration relative to vertical

RF: Mean of VM, standard deviation of VM, percent power in 0.6€“2.5 Hz band, dominant frequency of VM, fraction of power at dominant frequency, mean angle of acceleration relative to vertical, standard deviation of angle of acceleration relative to vertical",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,
261,1518,vanHees 2011,No,Energy expenditure association,Supervised regression,"PAEE (MJ/day, J/min/kg)",n.a.,DLW; IC,Adults,GENEA (Unilever & ActivInsights),Healthy,"Both wrists
",Time-domain; Anthropometric,"Pregnant women: VM (mg), Weight (kg)
Non-pregnant women: VM (mg), Body wear side",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"rmse_mj.day, r2, bias"
262,1518,vanHees 2011,,Energy expenditure association,Supervised regression,"PAEE (MJ/day, J/min/kg)",n.a.,DLW; IC,Adults,GENEA (Unilever & ActivInsights),Clinical,"Both wrists
",Time-domain; Wear-site,,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"rmse_mj.day, r2, bias"
263,1279,vanHees 2013,No,Energy expenditure association,Supervised regression,PAEE (MJ/day),n.a.,DLW; IC,Adults,GENEA (Unilever & ActivInsights),Healthy,"Both wrists
",Time-domain; Anthropometric,"HFEN+ (mg), body weight (kg)",Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"se, r2"
264,943,White 2019,No,Energy expenditure association,Supervised regression,PAEE (J/min/kg),n.a.,DLW,Adults; Older adults,AX3 (Axivity),Healthy,Non-dominant wrist,Time-domain,HPFVM (mg) or ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias, rmse_kj/day/kg, r"
265,943,White 2019,No,Energy expenditure association,Supervised regression,PAEE (J/min/kg),n.a.,DLW,Adults; Older adults,AX3 (Axivity),Healthy,Non-dominant wrist,Time-domain,,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias, rmse_kj/day/kg, r"
266,943,White 2019,No,Energy expenditure association,Supervised regression,TEE (MJ/day),n.a.,DLW,Adults; Older adults,AX3 (Axivity),Healthy,Non-dominant wrist,Time-domain,,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Free-living,Unstructured,Free-living,Unstructured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,"bias, rmse_kj/day/kg, r"
267,5534,Ellingson 2017,No - uses Hildebrand 2014 to map a non-linear function,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain,ENMO (mg),Non-linear / Mixed Statistical,Polynomial,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Apparent,24.59,9.52,n.r.,n.r.,51,participants,n.a.,
268,15839,Haapalainen 2008,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,Custom (VTI technologies capacitive acccelerometers),Healthy,Left wrist,Time-domain; Spatial; Anthropometric; Physiological,"Mean and variance of biaxial acceleration, lagged acceleration values; interaction terms; height, weight, BMI, age, VO2max",Non-linear / Mixed Statistical,MixedEffects,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,5.73,5.26,n.r.,n.r.,9,cv_folds,9,r
269,15949,Haapalainen 2008,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,Custom (VTI technologies capacitive acccelerometers),Healthy,Left wrist,Time-domain; Anthropometric,"Variance of accelerometer signal (unitless), height (m), log(height), product of variances, lagged variances",Non-linear / Mixed Statistical,MixedEffects,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,7.75,4.57,n.r.,n.r.,9,cv_folds,9,r
270,26667,Hibbing 2023,Yes - Ellingson 2017,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain,ENMO (mg),Non-linear / Mixed Statistical,Polynomial,Machine Learning or Other Models,Laboratory,Structured,Free-living,Unstructured,External,18.10,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
271,11760,Montoye 2017,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Left wrist,Time-domain,"Mean, SD, minimum, maximum, covariance, 10th, 25th, 50th, 75th, 90th percentiles",Non-linear / Mixed Statistical,MixedEffects,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,1.61,n.r.,n.a.,n.a.,n.a.,r
